,"R","JS","tafavot"
"382",380.778,381.3793,-0.601299999999981
"383",553.065,553.8739,-0.808899999999881
"384",788.613,789.6185,-1.00549999999998
"385",1078.816,1080.004,-1.18799999999987
"386",1404.96,1406.269,-1.30899999999997
"387",1746.091,1747.543,-1.452
"388",2077.236,2078.806,-1.57000000000016
"389",2375.596,2377.252,-1.65599999999995
"390",2625.075,2626.789,-1.7140000000004
"391",2810.913,2812.663,-1.74999999999955
"392",2931.661,2933.43,-1.76899999999978
"393",2999.049,3000.823,-1.77399999999989
"394",3025.359,3027.129,-1.76999999999998
"395",3021.731,3023.499,-1.76800000000003
"396",2997.493,2999.242,-1.7489999999998
"397",2961.381,2963.109,-1.72800000000052
"398",2920.714,2922.424,-1.71000000000004
"399",2880.556,2882.343,-1.78700000000026
"400",2833.233,2834.998,-1.76499999999942
"401",2773.173,2774.891,-1.7180000000003
"402",2700.161,2701.831,-1.66999999999962
"403",2612.946,2614.565,-1.61899999999969
"404",2517.812,2519.381,-1.56900000000041
"405",2421.175,2422.697,-1.52199999999948
"406",2319.349,2320.821,-1.47199999999975
"407",2208.348,2209.764,-1.41599999999971
"408",2072.972,2074.577,-1.60500000000002
"409",1868.926,1870.418,-1.49199999999996
"410",1633.963,1635.289,-1.32600000000002
"411",1399.369,1400.515,-1.14599999999996
"412",1164.462,1165.415,-0.952999999999975
"413",968.989,969.7796,-0.79060000000004
"414",806.327,806.9852,-0.658199999999965
"415",670.97,671.5186,-0.548599999999965
"416",558.336,558.7926,-0.45659999999998
"417",464.61,464.9898,-0.379800000000046
"418",386.617,386.9332,-0.316199999999981
"419",321.717,321.9795,-0.262499999999989
"420",267.711,267.9295,-0.218499999999949
"421",222.771,222.9526,-0.181600000000003
"422",185.375,185.5267,-0.151700000000005
"423",154.256,154.3828,-0.126800000000003
"424",128.362,128.4669,-0.104900000000015
"425",106.814,106.9014,-0.087400000000002
"426",88.884,88.95613,-0.072130000000001
"427",73.963,74.02337,-0.060370000000006
"428",96.217,96.30546,-0.088460000000012
"429",136.895,137.031,-0.135999999999996
"430",189.014,189.2099,-0.195899999999995
"431",249.969,250.2332,-0.264200000000017
"432",319.487,319.8258,-0.338799999999992
"433",414.597,415.0251,-0.428100000000029
"434",559.453,560.0292,-0.576199999999972
"435",772.665,773.391,-0.725999999999999
"436",1059.259,1060.155,-0.895999999999958
"437",1406.43,1407.503,-1.07299999999987
"438",1786.207,1787.569,-1.36199999999985
"439",2156.345,2157.831,-1.48599999999988
"440",2490.01,2491.586,-1.57599999999957
"441",2773.241,2774.869,-1.6279999999997
"442",2999.568,3001.228,-1.6599999999994
"443",3167.315,3168.986,-1.67099999999982
"444",3279.742,3281.41,-1.66800000000012
"445",3343.816,3345.477,-1.66100000000006
"446",3367.618,3369.262,-1.64400000000023
"447",3358.689,3360.352,-1.66300000000001
"448",3322.326,3323.964,-1.63799999999992
"449",3267.228,3268.832,-1.60400000000027
"450",3202.616,3204.187,-1.57099999999991
"451",3136.243,3137.78,-1.53699999999981
"452",3074.493,3076.009,-1.51600000000008
"453",3021.411,3022.922,-1.51099999999997
"454",2979.134,2980.643,-1.50899999999956
"455",2948.508,2950.021,-1.51300000000037
"456",2913.338,2914.855,-1.51699999999983
"457",2852.004,2853.517,-1.51300000000037
"458",2758.363,2759.856,-1.49300000000039
"459",2627.864,2629.312,-1.44799999999987
"460",2451.769,2453.165,-1.39600000000019
"461",2206.534,2207.808,-1.27399999999989
"462",1931.914,1933.042,-1.12799999999993
"463",1668.44,1669.421,-0.980999999999767
"464",1391.969,1392.788,-0.81899999999996
"465",1158.303,1158.984,-0.680999999999813
"466",963.861,964.4279,-0.566899999999919
"467",802.06,802.5318,-0.471800000000144
"468",667.42,667.8128,-0.392800000000079
"469",555.382,555.7092,-0.327200000000062
"470",462.151,462.424,-0.273000000000025
"471",384.571,384.7977,-0.226699999999994
"472",320.014,320.2026,-0.188600000000008
"473",266.294,266.4507,-0.156700000000001
"474",221.592,221.7228,-0.130799999999994
"475",184.394,184.5029,-0.108899999999977
"476",153.44,153.5309,-0.090899999999977
"477",127.683,127.7581,-0.075100000000006
"478",141.377,141.4649,-0.087899999999991
"479",169.01,169.1199,-0.10990000000001
"480",194.78,194.9092,-0.129199999999969
"481",221.259,221.4093,-0.150300000000016
"482",260.807,260.9861,-0.179100000000005
"483",326.23,326.4559,-0.225900000000024
"484",432.175,432.4727,-0.29770000000002
"485",621.546,621.9623,-0.416299999999978
"486",923.988,924.9601,-0.972099999999955
"487",1300.763,1301.954,-1.19100000000003
"488",1714.9,1716.251,-1.35099999999989
"489",2131.03,2132.489,-1.45899999999983
"490",2519.199,2520.738,-1.53899999999976
"491",2857.262,2858.832,-1.56999999999971
"492",3133.939,3135.506,-1.56700000000001
"493",3346.154,3347.706,-1.55200000000013
"494",3496.394,3497.922,-1.52800000000025
"495",3588.211,3589.717,-1.50599999999986
"496",3629.669,3631.164,-1.49500000000035
"497",3633.93,3635.421,-1.49099999999999
"498",3613.33,3614.821,-1.49099999999999
"499",3580.452,3581.871,-1.41899999999987
"500",3549.443,3550.88,-1.43699999999944
"501",3524.246,3525.698,-1.45200000000023
"502",3505.805,3507.265,-1.46000000000004
"503",3494.192,3495.665,-1.47299999999996
"504",3483.363,3484.886,-1.52300000000014
"505",3461.651,3463.162,-1.51100000000042
"506",3424.524,3426.013,-1.48900000000049
"507",3368.311,3369.779,-1.46799999999985
"508",3304.563,3306.013,-1.44999999999982
"509",3247.841,3249.278,-1.4369999999999
"510",3195.173,3196.6,-1.42700000000013
"511",3142.028,3143.447,-1.41900000000032
"512",3078.58,3080.144,-1.56399999999985
"513",2983.812,2985.354,-1.54200000000037
"514",2848.186,2849.673,-1.48700000000008
"515",2647.343,2648.741,-1.39800000000059
"516",2394.542,2395.962,-1.42000000000007
"517",2114.492,2115.742,-1.25
