,"x",,
"358",0,-8.298518E-19,8.298518E-19
"359",0,-8.219676E-19,8.219676E-19
"360",0,-8.141584E-19,8.141584E-19
"361",0,-8.064232E-19,8.064232E-19
"362",0,-7.987616E-19,7.987616E-19
"363",0,-7.911728E-19,7.911728E-19
"364",0,-7.836561E-19,7.836561E-19
"365",0,-7.762108E-19,7.762108E-19
"366",0,-7.688362E-19,7.688362E-19
"367",0,-7.615317E-19,7.615317E-19
"368",0,-7.542966E-19,7.542966E-19
"369",0,-7.471302E-19,7.471302E-19
"370",0,-7.400319E-19,7.400319E-19
"371",0,-7.330011E-19,7.330011E-19
"372",0,-7.26037E-19,7.26037E-19
"373",0,-7.191392E-19,7.191392E-19
"374",0,-7.123068E-19,7.123068E-19
"375",0,-7.055394E-19,7.055394E-19
"376",0,-6.988362E-19,6.988362E-19
"377",0,-6.921968E-19,6.921968E-19
"378",0,-6.856204E-19,6.856204E-19
"379",0,2.628526E-14,-2.628526E-14
"380",0,2.763743E-06,-2.763743E-06
"381",0,2.935737E-05,-2.935737E-05
"382",0,4.717048E-05,-4.717048E-05
"383",0,5.985259E-05,-5.985259E-05
"384",0,7.14036E-05,-7.14036E-05
"385",0,8.154899E-05,-8.154899E-05
"386",0,9.055413E-05,-9.055413E-05
"387",0,9.861426E-05,-9.861426E-05
"388",0,0.0001046258,-0.0001046258
"389",0,0.0001086228,-0.0001086228
"390",0,0.000110742,-0.000110742
"391",0,0.0001047858,-0.0001047858
"392",0,9.929264E-05,-9.929264E-05
"393",0,9.432839E-05,-9.432839E-05
"394",0,8.990447E-05,-8.990447E-05
"395",0,8.549474E-05,-8.549474E-05
"396",0,8.153643E-05,-8.153643E-05
"397",0,7.831654E-05,-7.831654E-05
"398",0,7.58117E-05,-7.58117E-05
"399",0,7.102963E-05,-7.102963E-05
"400",0,6.15854E-05,-6.15854E-05
"401",0,5.338903E-05,-5.338903E-05
"402",0,4.57172E-05,-4.57172E-05
"403",0,3.793773E-05,-3.793773E-05
"404",0,3.366678E-05,-3.366678E-05
"405",0,2.88867E-05,-2.88867E-05
"406",0,2.34321E-05,-2.34321E-05
"407",0,1.716782E-05,-1.716782E-05
"408",0,3.888869E-06,-3.888869E-06
"409",0,-8.955332E-15,8.955332E-15
"410",0,1.252766E-17,-1.252766E-17
"411",0,1.240864E-17,-1.240864E-17
"412",0,1.229075E-17,-1.229075E-17
"413",0,1.217397E-17,-1.217397E-17
"414",0,1.205831E-17,-1.205831E-17
"415",0,1.194375E-17,-1.194375E-17
"416",0,1.183028E-17,-1.183028E-17
"417",0,1.171788E-17,-1.171788E-17
"418",0,1.160655E-17,-1.160655E-17
"419",0,1.149628E-17,-1.149628E-17
"420",0,1.138706E-17,-1.138706E-17
"421",0,1.127887E-17,-1.127887E-17
"422",0,1.117171E-17,-1.117171E-17
"423",0,1.106557E-17,-1.106557E-17
"424",0,1.096044E-17,-1.096044E-17
"425",0,1.085631E-17,-1.085631E-17
"426",0,1.075317E-17,-1.075317E-17
"427",0,1.065101E-17,-1.065101E-17
"428",0,1.054981E-17,-1.054981E-17
"429",0,1.044958E-17,-1.044958E-17
"430",0,-3.024237E-12,3.024237E-12
"431",0,-2.245347E-15,2.245347E-15
"432",0,1.030845E-05,-1.030845E-05
"433",0,2.184113E-05,-2.184113E-05
"434",0,3.247135E-05,-3.247135E-05
"435",0,4.214955E-05,-4.214955E-05
"436",0,5.090116E-05,-5.090116E-05
"437",0,5.849081E-05,-5.849081E-05
"438",0,6.388114E-05,-6.388114E-05
"439",0,6.64206E-05,-6.64206E-05
"440",0,6.812151E-05,-6.812151E-05
"441",0,6.903132E-05,-6.903132E-05
"442",0,6.922814E-05,-6.922814E-05
"443",0,6.823654E-05,-6.823654E-05
"444",0,6.691092E-05,-6.691092E-05
"445",0,6.536511E-05,-6.536511E-05
"446",0,6.371049E-05,-6.371049E-05
"447",0,5.898897E-05,-5.898897E-05
"448",0,5.374926E-05,-5.374926E-05
"449",0,4.957237E-05,-4.957237E-05
"450",0,4.626015E-05,-4.626015E-05
"451",0,4.373958E-05,-4.373958E-05
"452",0,4.195241E-05,-4.195241E-05
"453",0,4.061479E-05,-4.061479E-05
"454",0,3.964648E-05,-3.964648E-05
"455",0,3.897759E-05,-3.897759E-05
"456",0,3.317066E-05,-3.317066E-05
"457",0,2.707612E-05,-2.707612E-05
"458",0,2.025794E-05,-2.025794E-05
"459",0,1.229406E-05,-1.229406E-05
"460",0,2.498199E-06,-2.498199E-06
"461",0,1.110117E-16,-1.110117E-16
"462",0,3.937263E-22,-3.937263E-22
"463",0,3.899856E-22,-3.899856E-22
"464",0,3.862804E-22,-3.862804E-22
"465",0,3.826105E-22,-3.826105E-22
"466",0,3.789754E-22,-3.789754E-22
"467",0,3.753748E-22,-3.753748E-22
"468",0,3.718085E-22,-3.718085E-22
"469",0,3.682761E-22,-3.682761E-22
"470",0,3.647772E-22,-3.647772E-22
"471",0,3.613115E-22,-3.613115E-22
"472",0,3.578788E-22,-3.578788E-22
"473",0,3.544787E-22,-3.544787E-22
"474",0,3.511109E-22,-3.511109E-22
"475",0,3.477751E-22,-3.477751E-22
"476",0,3.444709E-22,-3.444709E-22
"477",0,3.411982E-22,-3.411982E-22
"478",0,3.379566E-22,-3.379566E-22
"479",0,3.347457E-22,-3.347457E-22
"480",0,3.315654E-22,-3.315654E-22
"481",0,3.284153E-22,-3.284153E-22
"482",0,-1.134646E-11,1.134646E-11
"483",0,5.163733E-06,-5.163733E-06
"484",0,1.745216E-05,-1.745216E-05
"485",0,2.941774E-05,-2.941774E-05
"486",0,3.671673E-05,-3.671673E-05
"487",0,4.13908E-05,-4.13908E-05
"488",0,4.538635E-05,-4.538635E-05
"489",0,4.866047E-05,-4.866047E-05
"490",0,5.110422E-05,-5.110422E-05
"491",0,5.267504E-05,-5.267504E-05
"492",0,5.364931E-05,-5.364931E-05
"493",0,5.410734E-05,-5.410734E-05
"494",0,5.413713E-05,-5.413713E-05
"495",0,4.982128E-05,-4.982128E-05
"496",0,4.627139E-05,-4.627139E-05
"497",0,4.340651E-05,-4.340651E-05
"498",0,4.11255E-05,-4.11255E-05
"499",0,4.134014E-05,-4.134014E-05
"500",0,4.267298E-05,-4.267298E-05
"501",0,4.408893E-05,-4.408893E-05
"502",0,4.568037E-05,-4.568037E-05
"503",0,4.524382E-05,-4.524382E-05
"504",0,4.081949E-05,-4.081949E-05
"505",0,3.695474E-05,-3.695474E-05
"506",0,3.315786E-05,-3.315786E-05
"507",0,2.89731E-05,-2.89731E-05
"508",0,2.835543E-05,-2.835543E-05
"509",0,2.736241E-05,-2.736241E-05
"510",0,2.592484E-05,-2.592484E-05
"511",0,2.401384E-05,-2.401384E-05
"512",0,1.97767E-05,-1.97767E-05
"513",0,1.374616E-05,-1.374616E-05
"514",0,6.647156E-06,-6.647156E-06
"515",0,-3.424609E-11,3.424609E-11
"516",0,-1.538822E-18,1.538822E-18
"517",0,-6.564419E-23,6.564419E-23
"518",0,-6.502052E-23,6.502052E-23
"519",0,-6.440278E-23,6.440278E-23
"520",0,-6.379091E-23,6.379091E-23
"521",0,-6.318484E-23,6.318484E-23
"522",0,-6.258454E-23,6.258454E-23
"523",0,-6.198994E-23,6.198994E-23
"524",0,-6.140099E-23,6.140099E-23
"525",0,-6.081764E-23,6.081764E-23
"526",0,-6.023983E-23,6.023983E-23
"527",0,-5.96675E-23,5.96675E-23
"528",0,-5.910062E-23,5.910062E-23
"529",0,-5.853912E-23,5.853912E-23
"530",0,-5.798295E-23,5.798295E-23
"531",0,-5.743207E-23,5.743207E-23
"532",0,-5.688643E-23,5.688643E-23
"533",0,-5.884881E-13,5.884881E-13
"534",0,7.085338E-17,-7.085338E-17
"535",0,1.177912E-16,-1.177912E-16
"536",0,1.458743E-06,-1.458743E-06
"537",0,5.893349E-06,-5.893349E-06
"538",0,1.929701E-05,-1.929701E-05
"539",0,3.673688E-05,-3.673688E-05
"540",0,5.260748E-05,-5.260748E-05
"541",0,6.609309E-05,-6.609309E-05
"542",0,7.241725E-05,-7.241725E-05
"543",0,6.905503E-05,-6.905503E-05
"544",0,6.588106E-05,-6.588106E-05
"545",0,6.289107E-05,-6.289107E-05
"546",0,6.009492E-05,-6.009492E-05
"547",0,6.088262E-05,-6.088262E-05
"548",0,6.110062E-05,-6.110062E-05
"549",0,6.084362E-05,-6.084362E-05
"550",0,6.025305E-05,-6.025305E-05
"551",0,5.809035E-05,-5.809035E-05
"552",0,5.566184E-05,-5.566184E-05
"553",0,5.382568E-05,-5.382568E-05
"554",0,5.261439E-05,-5.261439E-05
"555",0,4.956056E-05,-4.956056E-05
"556",0,4.261146E-05,-4.261146E-05
"557",0,3.65712E-05,-3.65712E-05
"558",0,3.067228E-05,-3.067228E-05
"559",0,2.422429E-05,-2.422429E-05
"560",0,2.549937E-05,-2.549937E-05
"561",0,2.66934E-05,-2.66934E-05
"562",0,2.773804E-05,-2.773804E-05
"563",0,2.863437E-05,-2.863437E-05
"564",0,2.042147E-05,-2.042147E-05
"565",0,6.011435E-06,-6.011435E-06
"566",0,-6.039396E-13,6.039396E-13
"567",0,-4.885944E-16,4.885944E-16
"568",0,-4.839524E-16,4.839524E-16
"569",0,-4.793545E-16,4.793545E-16
"570",0,-4.748003E-16,4.748003E-16
"571",0,-4.702893E-16,4.702893E-16
"572",0,-4.658212E-16,4.658212E-16
"573",0,-4.613956E-16,4.613956E-16
"574",0,-4.57012E-16,4.57012E-16
"575",0,-4.5267E-16,4.5267E-16
"576",0,-4.483693E-16,4.483693E-16
"577",0,-4.441095E-16,4.441095E-16
"578",0,-4.398901E-16,4.398901E-16
"579",0,-4.357108E-16,4.357108E-16
"580",0,-4.315713E-16,4.315713E-16
"581",0,-4.27471E-16,4.27471E-16
"582",0,-4.234097E-16,4.234097E-16
"583",0,-4.19387E-16,4.19387E-16
"584",0,-4.154025E-16,4.154025E-16
"585",0,-4.114559E-16,4.114559E-16
"586",0,-7.067908E-13,7.067908E-13
"587",0,-2.130141E-17,2.130141E-17
"588",0,6.348324E-07,-6.348324E-07
"589",0,6.779935E-06,-6.779935E-06
"590",0,1.874589E-05,-1.874589E-05
"591",0,3.314163E-05,-3.314163E-05
"592",0,4.61828E-05,-4.61828E-05
"593",0,5.721472E-05,-5.721472E-05
"594",0,6.363107E-05,-6.363107E-05
"595",0,6.416338E-05,-6.416338E-05
"596",0,6.403665E-05,-6.403665E-05
"597",0,6.337364E-05,-6.337364E-05
"598",0,6.230858E-05,-6.230858E-05
"599",0,5.909172E-05,-5.909172E-05
"600",0,5.630397E-05,-5.630397E-05
"601",0,5.398735E-05,-5.398735E-05
"602",0,5.217159E-05,-5.217159E-05
