"p","omega","delta","mu_e","mu_ql","mu_el","mu_qn","mu_en","mu_qa","mu_ea","mu_h","beta_nh","beta_hl","beta_hn","lambda_l","lambda_n","lambda_a","alpha","f_l","f_n","f_a","kappa","c","Tf","obsprob","T_min_l","gamma","E0","QL0","EL_s0","EL_i0","QN_s0","QN_i0","EN_s0","EN_i0","QA_s0","QA_i0","EA0","H_s0","H_i0","LogLikJS","LogLikR","difference"
2000,5.29011820187013,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.006384831655778,0.000390126726414,17.0519350360634,1660,0.898935847353133,0.946912763326856,0.590831185188045,3.59188806952627E-05,0.4,4,1.05712155711172,17.1253262341594,0.333333333333333,37244.9605825137,432.93423801298,193.957287194221,414.384486235144,14.8072757095455,26.2201039805909,0.728902126237951,10.0914429451445,10641.3453630514,37982.3586090186,3101.7242361737,5.31248024562374E-05,0.99910959419255,-8578.44164,-8578.4050595283,-0.036580471698471
2000,5.52149766280595,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.006356764328193,0.00034452149456,17.1703832102114,1660,0.988002905199,0.832397651337809,0.732852895437019,2.79591949232064E-05,0.4,4,2.15608276339835,17.1591784167813,0.333333333333333,22662.1401729221,183.44333393079,0.210840912404521,365.63865072255,52.518002593082,88.4669028111347,7.49645631875872,2.07936626396515,641.757398033838,202385.516102765,16731.5643427019,0.000202402061993,0.997549755262878,-8577.504634,-8577.50037042784,-0.004263572160198
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",-21073.2587710815,"#VALUE!"
2000,5.74267622609748,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.006628400063987,0.000344838759601,22.0578583972481,1660,0.969865241843966,0.892650469244955,0.715376892525658,2.26114333151778E-05,0.4,4,1.32759749753344,17.2347801338641,0.333333333333333,130315.074511469,1452.5475417752,1.47001285996465,308.791894074146,3.2999974294958,66.9520346905278,3.76087047640852,6.50807308535633,719.74963155635,286307.295608167,16140.1329175688,7.82705948199613E-05,0.997635409400697,-8583.903382,-8583.82896706866,-0.074414931339561
2000,5.93608511105834,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.007557049379626,0.000306580972142,11.6683195431674,1660,0.999999999999305,0.73294684921014,0.84390761426791,3.14729439788506E-05,0.4,4,0.978305092380945,17.1747112633899,0.333333333333333,58314.6448261373,193.727386465575,10.3156106412907,335.770386972972,318.594827158579,94.9875403034012,2.47349307649757,7.46443377661842,5954.93815231868,99979.8143481736,19599.9398352181,0.00022276887551,0.995055403425132,-8582.88927,-8582.85380817643,-0.035461823568767
2000,5.75064050839512,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.007097215279058,0.000307314624813,13.6446061585348,1660,0.999999999999587,0.76086663219268,0.860839769949715,2.83876100520635E-05,0.4,4,1.06515416785977,17.1547295701448,0.333333333333333,16919.3948009423,446.729370658093,20.8340401886588,299.209428242147,9.08720689942386,114.881523543046,19.6282942075156,43.5823194235162,20223.5136355121,171984.428953435,21376.5337566695,2.38352276187471E-05,0.998991342868293,-8583.719891,-8583.68936781546,-0.03052318454138
2000,6.0895536725382,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.005365040993093,0.000524983115273,31.9197978794146,1660,0.9242759250681,0.532722691383246,0.924736314508795,1.4156796606289E-05,0.4,4,1.34165533087749,17.1057077139766,0.333333333333333,88279.3587698666,603.288981060297,0.524237505219864,593.289688771804,12.5228434387172,16.6742779508237,5.98116917656611,0.452718507829465,105.397751706748,28072.7537143382,72348.911250715,0.000145958261202,0.997879199205256,-8582.048381,-8581.99456051473,-0.05382048527099
2000,5.66692137302057,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.005263755330656,0.000537392034388,34.7436098807658,1660,0.897004945523513,0.545127162663987,0.928215573588187,1.2195452591066E-05,0.4,4,1.01525481695507,17.1487352344114,0.333333333333333,150635.594797617,107.850635061547,0.362626201626215,601.76461479111,13.694061180113,37.7612237038209,27.0194050227018,1.8872375934071,220.597259043339,29.1084682070711,19534.5858700507,0.000582084293097,0.988651494292074,-8584.851682,-8584.79579217789,-0.055889822109748
2000,6.73032017357983,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.005657415955353,0.000525516913915,34.3458496624906,1660,0.995220504929471,0.54876477869445,0.766703651008021,1.341585634247E-05,0.4,4,1.10859895639716,16.9302767945091,0.333333333333333,3554.63948367051,311.994858388166,2.23026533660603,716.833234998301,0.0039240705296,117.254351495584,12.11272341037,12.018026637553,634.625859404748,48482.5501022269,7141.48126256993,3.73064852731064E-05,0.999178935212071,-8581.099538,-8581.08392721996,-0.015610780041243
2000,6.31061785373115,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.005323140426021,0.000552094946567,26.6440557715441,1660,0.91849294506761,0.725303430797646,0.608940273750929,2.4163751164799E-05,0.4,4,1.0727048318726,16.9150616446087,0.333333333333333,174055.15154136,10.1450848599042,0.011273482722088,339.6088398597,33.1216158331866,241.360735891685,0.195594083271392,6.16703383212656,157.178617482887,114746.852822848,14461.0948070231,5.52398123026016E-05,0.999156576663447,-8579.67473,-8579.64821891591,-0.026511084090089
