,"x",72.57231,
"309",135812647102.749,135915300000,-102652897.251007
"310",113014193346.045,113098500000,-84306653.9549866
"311",94042851307.6787,94111390000,-68538692.3213043
"312",78256050407.242,78306470000,-50419592.7579956
"313",65119391128.8515,65167000000,-47608871.1484985
"314",54187957521.1301,54229030000,-41072478.8699036
"315",45091559425.5338,45125380000,-33820574.4662018
"316",37522163778.3867,37547880000,-25716221.6132965
"317",31223435257.4521,31242030000,-18594742.5479012
"318",25982038363.9465,26000950000,-18911636.0535011
"319",21620483148.5195,21636740000,-16256851.4804993
"320",17991102041.5922,18005140000,-14037958.4077988
"321",14970967374.6945,14982450000,-11482625.3055
"322",12457829609.7626,12466920000,-9090390.23740005
"323",10366565692.5808,10374010000,-7444307.4192009
"324",16702247011.9516,16714800000,-12552988.048399
"325",22172455062.9403,22189230000,-16774937.0597038
"326",27060846866.6785,27080980000,-20133133.3214989
"327",31587622473.4571,31609520000,-21897526.5429001
"328",35911376828.3381,35935220000,-23843171.6619034
"329",40092337394.2687,40119130000,-26792605.7313004
"330",45159169483.9972,45160950000,-1780516.00279999
"331",54556501329.2118,54572200000,-15698670.7881928
"332",72882427649.0866,72908630000,-26202350.9134064
"333",96845239682.9604,96873850000,-28610317.0396118
"334",109121774009.72,109091600000,30174009.7200012
"335",107583050342.79,107537200000,45850342.7899933
"336",98746473557.8323,98681220000,65253557.8323059
"337",87069567332.7764,87002420000,67147332.7763977
"338",75066673963.6591,75001440000,65233963.6591034
"339",64707992464.6382,64645580000,62412464.6381989
"340",56796801125.7162,56736190000,60611125.7161942
"341",50926368894.3318,50868250000,58118894.3318024
"342",46637975601.1366,46581580000,56395601.1365967
"343",43509140157.1446,43454430000,54710157.1445923
"344",41189551949.462,41135760000,53791949.461998
"345",39389262236.6855,39337360000,51902236.6855011
"346",37890345550.8514,37840440000,49905550.8514023
"347",36713659942.1559,36647070000,66589942.1558991
"348",37683577234.2279,37621950000,61627234.2278977
"349",41375381535.98,41317930000,57451535.9800034
"350",47777412342.9225,47725120000,52292342.9225006
"351",56943256044.4242,56894370000,48886044.424202
"352",70820462759.5689,70773690000,46772759.5688934
"353",91021798774.7089,90971270000,50528774.7088928
"354",114895576319.153,114842800000,52776319.1529999
"355",134053960813.004,134008300000,45660813.0040131
"356",142513130605.594,142436500000,76630605.5939941
"357",144537617818.75,144478900000,58717818.75
"358",142096236121.392,142052600000,43636121.3919983
"359",136843647378.509,136812100000,31547378.5090179
"360",130341682032.355,130323100000,18582032.3549957
"361",114766786030.401,114748400000,18386030.401001
"362",95501186626.8335,95486200000,14986626.8334961
"363",79469665375.5688,79460740000,8925375.56880188
"364",66129317886.0491,66124820000,4497886.04910278
"365",55028372657.9648,55026840000,1532657.96479797
"366",45790913536.1459,45791490000,-576463.854103088
"367",38104122235.9601,38102580000,1542235.96009827
"368",31707684638.2873,31705790000,1894638.28730011
"369",26384998370.0649,26383420000,1578370.06490326
"370",21955823781.4522,21954350000,1473781.45220566
"371",18270179114.5293,18269500000,679114.52930069
"372",15203225458.2697,15203120000,105458.269697189
"373",27227271799.1141,27240240000,-12968200.8858986
"374",37035621619.0125,37048550000,-12928380.9875031
"375",44556412597.4784,44569950000,-13537402.5215988
"376",50250205881.6772,50264830000,-14624118.3227997
"377",46996601978.7545,47011910000,-15308021.2454987
"378",51753604038.6679,51767000000,-13395961.3320999
"379",60417097217.8872,60431190000,-14092782.1128006
"380",73736764000.0298,73753950000,-17185999.9701996
"381",91063455238.6405,91083140000,-19684761.3594971
"382",111826344051.745,111860400000,-34055948.2550049
"383",130369717130.535,130398000000,-28282869.4649811
"384",140481699412.257,140497100000,-15400587.7430115
"385",139605285586.164,139604900000,385586.164001465
"386",129551600290.844,129547200000,4400290.84399414
"387",113817332026.171,113823000000,-5667973.82899475
"388",96080918123.6674,96075740000,5178123.66740418
"389",78918835984.2592,78918090000,745984.25920105
"390",63668702240.0135,63668520000,182240.013496399
"391",51434773249.1557,51435170000,-396750.844299316
"392",42436595782.2315,42435060000,1535782.23149872
"393",36037540174.7262,36037450000,90174.7261962891
"394",31663674065.6794,31663950000,-275934.320598602
"395",28863865587.6882,28863540000,325587.688201904
"396",27339894856.0757,27341070000,-1175143.92430115
"397",26723253566.9138,26726860000,-3606433.08620071
"398",26699971362.7094,26706650000,-6678637.29059982
"399",27207621173.3644,27196300000,11321173.364399
"400",30277322542.5681,30270810000,6512542.56809998
"401",36921880606.7737,36920380000,1500606.7736969
"402",47477659944.0996,47482780000,-5120055.90039825
"403",62176262570.0829,62185210000,-8947429.917099
"404",79448327365.9326,79460490000,-12162634.0673981
"405",97595626986.7355,97609240000,-13613013.2644959
"406",116329604197.009,116341300000,-11695802.9909973
"407",135044020807.395,135049300000,-5279192.60499573
"408",152351578531.957,152342200000,9378531.95700073
"409",161343411140.986,161337200000,6211140.98599243
"410",158337511742.872,158333800000,3711742.87200928
"411",145174661304.07,145175700000,-1038695.92999268
"412",120804634102.226,120804700000,-65897.774017334
"413",100525535698.463,100522500000,3035698.46299744
"414",83650506978.9028,83645200000,5306978.90280151
"415",69608296138.3861,69608990000,-693861.61390686
"416",57923315189.6096,57925360000,-2044810.39040375
"417",48199867208.2915,48201200000,-1332791.70850372
"418",40108705684.9183,40110730000,-2024315.08170319
"419",33375777631.4917,33378320000,-2542368.50830078
"420",27773045066.0429,27775610000,-2564933.95709991
"421",23110848928.4348,23113280000,-2431071.56520081
"422",19231280174.9927,19233490000,-2209825.00730133
"423",16002997092.7776,16004780000,-1782907.22239876
"424",13316612197.9239,13318370000,-1757802.0760994
"425",11081183446.9181,11082770000,-1586553.08189964
"426",9221002334.68527,9222433000,-1430665.31472969
"427",7673088916.8818,7674301000,-1212083.1182003
"428",18328946484.5629,18332450000,-3503515.43709946
"429",34127267426.7511,34131650000,-4382573.24890518
"430",51795164392.7536,51800310000,-5145607.2463913
"431",70229771375.4514,70235810000,-6038624.54859924
"432",88725026674.8195,88731690000,-6663325.18049622
"433",108172883606.139,108178000000,-5116393.86099243
"434",127522962616.599,127523100000,-137383.401000977
"435",142540278334.541,142535900000,4378334.54098511
"436",148254839332.318,148253800000,1039332.31799316
"437",143180139811.11,143181500000,-1360188.89001465
"438",129979481959.538,129970700000,8781959.53799439
"439",113635051873.55,113632600000,2451873.55000305
