,"c","r",,"js","E0"
1059.9,2733.241,440263239.302416,-440260506.061416,"NaN","NaN"
1066.9,2274.419,366357575.59996,-366355301.18096,"NaN","NaN"
1073.9,1892.619,304858147.861891,-304856255.242891,"NaN","NaN"
1081,1574.91,253682370.019628,-253680795.109628,"NaN","NaN"
1088,1310.534,211097352.848454,-211096042.314454,"NaN","NaN"
1095,1090.538,175660972.118464,-175659881.580464,"NaN","NaN"
1102,907.4722,146173355.875768,-146172448.403568,"NaN","NaN"
1109,755.1373,121635562.454666,-121634807.317366,"NaN","NaN"
1116.1,628.3739,101216904.664443,-101216276.290543,"NaN","NaN"
1123.1,522.8894,84225772.5569267,-84225249.6675267,"NaN","NaN"
1130.1,435.1085,70087017.3916945,-70086582.2831945,"NaN","NaN"
1137.1,362.0726,58321692.6859424,-58321330.6133424,"NaN","NaN"
1144.1,301.3012,48531396.5312508,-48531095.2300508,"NaN","NaN"
1151.2,250.7315,40384556.5188019,-40384305.7873019,"NaN","NaN"
1158.2,208.649,33605279.7744413,-33605071.1254413,"NaN","NaN"
1165.2,173.6297,27964041.3287964,-27963867.6990964,"NaN","NaN"
1172.2,826.2556,30237036.0308961,-30236209.7752961,"NaN","NaN"
1179.2,2487.517,47083723.9447761,-47081236.4277761,"NaN","NaN"
1186.2,3564.092,72136277.9685286,-72132713.8765286,"NaN","NaN"
1193.3,4078.429,100144682.783569,-100140604.354569,"NaN","NaN"
1200.3,4393.627,123367358.369307,-123362964.742307,"NaN","NaN"
1207.3,4596.652,143899008.599174,-143894411.947174,"NaN","NaN"
1214.3,4750.577,167166185.697546,-167161435.120546,"NaN","NaN"
1221.3,4834.318,201437699.618497,-201432865.300497,"NaN","NaN"
1228.4,4724.412,265846406.435937,-265841682.023937,"NaN","NaN"
1235.4,4525.009,381408019.68225,-381403494.67325,"NaN","NaN"
1242.4,4310.135,563805135.373688,-563800825.238688,"NaN","NaN"
1249.4,4112.145,816901102.248788,-816896990.103788,"NaN","NaN"
1256.4,3960.382,1123387014.83915,-1123383054.45715,"NaN","NaN"
1263.5,3820.683,1460876508.30887,-1460872687.62587,"NaN","NaN"
1270.5,3662.889,1808032097.22044,-1808028434.33144,"NaN","NaN"
1277.5,3478.284,2146481443.54242,-2146477965.25842,"NaN","NaN"
1284.5,3272.059,2464551545.33962,-2464548273.28062,"NaN","NaN"
1291.5,3059.93,2757685361.08868,-2757682301.15868,"NaN","NaN"
1298.6,2859.463,3028760690.17174,-3028757830.70874,"NaN","NaN"
1305.6,2682.824,3289771972.17704,-3289769289.35304,"NaN","NaN"
1312.6,2555.45,3556411189.52899,-3556408634.07899,"NaN","NaN"
1319.6,2513.559,3836387011.39342,-3836384497.83442,"NaN","NaN"
1326.6,2522.543,4156259992.48775,-4156257469.94475,"NaN","NaN"
1333.7,2564.277,4549664399.02039,-4549661834.74339,"NaN","NaN"
1340.7,2631.537,5045209104.55525,-5045206473.01825,"NaN","NaN"
1347.7,2765.947,5626525498.95848,-5626522733.01148,"NaN","NaN"
1354.7,2957.371,6270092785.89298,-6270089828.52198,"NaN","NaN"
1361.7,3195.798,6960809170.20187,-6960805974.40387,"NaN","NaN"
1368.8,3481.172,7677784340.43737,-7677780859.26537,"NaN","NaN"
1375.8,3917.799,8286767519.82856,-8286763602.02956,"NaN","NaN"
1382.8,4585.767,8607636127.34647,-8607631541.57947,"NaN","NaN"
1389.8,5448.099,8576934167.89167,-8576928719.79267,"NaN","NaN"
1396.8,6339.465,8138044403.26513,-8138038063.80013,"NaN","NaN"
1403.8,6976.205,7362205309.11283,-7362198332.90783,"NaN","NaN"
1410.9,7484.976,6612725574.27944,-6612718089.30344,"NaN","NaN"
1417.9,7879.544,5920054864.81499,-5920046985.27099,"NaN","NaN"
1424.9,8157.572,5286205615.04409,-5286197457.47209,"NaN","NaN"
1431.9,8279.647,4704735601.47787,-4704727321.83087,"NaN","NaN"
1438.9,8098.652,4130351677.93265,-4130343579.28065,"NaN","NaN"
1446,7551.037,3570288494.24908,-3570280943.21208,"NaN","NaN"
1453,6283.464,2970954333.22674,-2970948049.76274,"NaN","NaN"
1460,5228.687,2472229987.83623,-2472224759.14923,"NaN","NaN"
1467,4350.989,2057220787.2988,-2057216436.3098,"NaN","NaN"
1474,3620.621,1711879961.20361,-1711876340.58261,"NaN","NaN"
1481.1,3012.821,1424510122.61536,-1424507109.79436,"NaN","NaN"
1488.1,2507.063,1185383403.75615,-1185380896.69315,"NaN","NaN"
1495.1,2086.206,986395818.383514,-986393732.177514,"NaN","NaN"
1502.1,1736.029,820811953.150526,-820810217.121526,"NaN","NaN"
1509.1,1444.651,683023329.684235,-683021885.033235,"NaN","NaN"
1516.2,1202.172,568365016.075774,-568363813.903774,"NaN","NaN"
1523.2,1677.351,581677238.128464,-581675560.777464,"NaN","NaN"
1530.2,2322.617,631679173.224693,-631676850.607693,"NaN","NaN"
1537.2,2826.901,666559378.394733,-666556551.493733,"NaN","NaN"
1544.2,3214.679,689181490.095879,-689178275.416879,"NaN","NaN"
1551.2,3506.385,701913223.175417,-701909716.790417,"NaN","NaN"
1558.3,3780.531,718758952.921207,-718755172.390207,"NaN","NaN"
1565.3,4204.236,775214936.211892,-775210731.975892,"NaN","NaN"
1572.3,4842.236,887822652.358515,-887817810.122515,"NaN","NaN"
1579.3,5617.568,1063340139.03484,-1063334521.46684,"NaN","NaN"
1586.3,6362.653,1456671387.75279,-1456665025.09979,"NaN","NaN"
1593.4,6953.866,2310151513.22078,-2310144559.35478,"NaN","NaN"
1600.4,7394.613,3839327031.17484,-3839319636.56184,"NaN","NaN"
1607.4,7694.628,6170601817.7217,-6170594123.0937,"NaN","NaN"
1614.4,7853.98,9285255611.03436,-9285247757.05436,"NaN","NaN"
1621.4,7890.87,12886976350.0127,-12886968459.1427,"NaN","NaN"
1628.5,7800.757,16695311830.2534,-16695304029.4964,"NaN","NaN"
1635.5,7578.645,20508998695.7758,-20508991117.1308,"NaN","NaN"
1642.5,7237.398,24180469815.1048,-24180462577.7068,"NaN","NaN"
1649.5,6746.467,27784215217.3319,-27784208470.8649,"NaN","NaN"
1656.5,6121.594,31367841612.5615,-31367835490.9675,"NaN","NaN"
1663.6,5436.593,34812726179.018,-34812720742.425,"NaN","NaN"
1670.6,4738.547,38059689051.4054,-38059684312.8584,"NaN","NaN"
1677.6,4102.007,41063654311.1542,-41063650209.1472,"NaN","NaN"
1684.6,3624.872,43684367521.795,-43684363896.923,"NaN","NaN"
1691.6,3252.602,46095146527.639,-46095143275.037,"NaN","NaN"
1698.7,2960.367,48561471019.5359,-48561468059.1689,"NaN","NaN"
1705.7,2740.08,51275236966.3358,-51275234226.2558,"NaN","NaN"
1712.7,2622.565,54135483714.1546,-54135481091.5896,"NaN","NaN"
1719.7,2607.876,56989689471.788,-56989686863.912,"NaN","NaN"
1726.7,2697.458,59672191476.014,-59672188778.556,"NaN","NaN"
1733.8,2906.315,61955461195.4095,-61955458289.0945,"NaN","NaN"
1740.8,3200.579,63853812591.2316,-63853809390.6526,"NaN","NaN"
1747.8,3557.904,65453818955.9455,-65453815398.0415,"NaN","NaN"
1754.8,4007.333,66565420753.7241,-66565416746.3911,"NaN","NaN"
1761.8,4566.301,66972655748.357,-66972651182.056,"NaN","NaN"
1768.8,5298.036,65951986692.7168,-65951981394.6808,"NaN","NaN"
1775.9,6193.306,61486010642.8654,-61486004449.5594,"NaN","NaN"
1782.9,6864.039,54888412517.1528,-54888405653.1138,"NaN","NaN"
1789.9,6971.58,47800639932.6326,-47800632961.0526,"NaN","NaN"
1796.9,5801.279,39776485149.1208,-39776479347.8418,"NaN","NaN"
1803.9,4827.433,33099332320.4205,-33099327492.9875,"NaN","NaN"
1811,4017.065,27543040596.4478,-27543036579.3828,"NaN","NaN"
1818,3342.731,22919439845.9148,-22919436503.1838,"NaN","NaN"
1825,2781.595,19072006611.2778,-19072003829.6828,"NaN","NaN"
1832,2314.656,15870428778.5882,-15870426463.9322,"NaN","NaN"
1839,1926.099,13206293605.0293,-13206291678.9303,"NaN","NaN"
1846.1,1602.768,10989380197.6156,-10989378594.8476,"NaN","NaN"
1853.1,1333.713,9144621740.80812,-9144620407.09512,"NaN","NaN"
1860.1,1109.848,7609539538.81692,-7609538428.96892,"NaN","NaN"
1867.1,923.5709,6332149789.66649,-6332148866.09559,"NaN","NaN"
1874.1,768.5571,5269188608.75713,-5269187840.20003,"NaN","NaN"
1881.2,639.5622,4384659818.21735,-4384659178.65515,"NaN","NaN"
1888.2,532.2193,3648617061.0713,-3648616528.852,"NaN","NaN"
1895.2,442.8925,3036131937.56053,-3036131494.66803,"NaN","NaN"
1902.2,368.5585,2526468907.74603,-2526468539.18753,"NaN","NaN"
1909.2,306.6845,2102356172.57958,-2102355865.89508,"NaN","NaN"
1916.2,255.1886,1749437950.72606,-1749437695.53746,"NaN","NaN"
1923.3,212.3435,1455762102.70249,-1455761890.35899,"NaN","NaN"
1930.3,919.2146,2399666528.78699,-2399665609.57239,"NaN","NaN"
1937.3,2305.658,4810188395.10636,-4810186089.44836,"NaN","NaN"
1944.3,3714.689,8485759502.63095,-8485755787.94195,"NaN","NaN"
1951.3,4789.667,13710725915.2919,-13710721125.6249,"NaN","NaN"
1958.4,5440.227,21533536583.7596,-21533531143.5326,"NaN","NaN"
1965.4,5731.049,33575090621.6914,-33575084890.6424,"NaN","NaN"
1972.4,5735.594,49976317655.7332,-49976311920.1392,"NaN","NaN"
1979.4,5510.484,68825439901.6844,-68825434391.2004,"NaN","NaN"
1986.4,5170.158,86987182479.1412,-86987177308.9832,"NaN","NaN"
1993.5,4728.214,102696797498.059,-102696792769.845,"NaN","NaN"
2000.5,4209.405,115307852199.133,-115307847989.728,"NaN","NaN"
2007.5,3660.849,124767652903.49,-124767649242.641,"NaN","NaN"
2014.5,3173.586,131802061709.576,-131802058535.99,"NaN","NaN"
2021.5,2782.203,137292529797.533,-137292527015.33,"NaN","NaN"
2028.6,2466.406,141634371592.554,-141634369126.148,"NaN","NaN"
2035.6,2216.287,145147497999.191,-145147495782.904,"NaN","NaN"
2042.6,2018.469,148001403683.856,-148001401665.387,"NaN","NaN"
2049.6,1853.448,150139955179.278,-150139953325.83,"NaN","NaN"
2056.6,1720.835,151610367113.57,-151610365392.735,"NaN","NaN"
2063.7,1616.374,152380477759.107,-152380476142.733,"NaN","NaN"
2070.7,1543.878,152593216603.165,-152593215059.287,"NaN","NaN"
2077.7,1606.41,154775154553.007,-154775152946.597,"NaN","NaN"
2084.7,1815.364,159271229360.678,-159271227545.314,"NaN","NaN"
2091.7,2184.293,165321592875.815,-165321590691.522,"NaN","NaN"
2098.8,2751.807,171820737009.828,-171820734258.021,"NaN","NaN"
2105.8,3385.615,177539514478.394,-177539511092.779,"NaN","NaN"
2112.8,3977.092,182385114512.019,-182385110534.927,"NaN","NaN"
2119.8,4574.895,186468803388.594,-186468798813.699,"NaN","NaN"
2126.8,5200.088,189770924819.259,-189770919619.171,"NaN","NaN"
2133.8,5885.257,191778611712.727,-191778605827.47,"NaN","NaN"
2140.9,6638.491,189533325428.666,-189533318790.175,"NaN","NaN"
2147.9,7342.336,181716152770.539,-181716145428.203,"NaN","NaN"
2154.9,7883.458,169484625926.975,-169484618043.517,"NaN","NaN"
2161.9,8147.238,154522105091.118,-154522096943.88,"NaN","NaN"
2168.9,7764.015,135812647102.749,-135812639338.734,"NaN","NaN"
2176,6460.698,113014193346.045,-113014186885.347,"NaN","NaN"
2183,5376.16,94042851307.6787,-94042845931.5187,"NaN","NaN"
2190,4473.676,78256050407.242,-78256045933.566,"NaN","NaN"
2197,3722.69,65119391128.8515,-65119387406.1615,"NaN","NaN"
2204,3097.768,54187957521.1301,-54187954423.3621,"NaN","NaN"
2211.1,2577.752,45091559425.5338,-45091556847.7818,"NaN","NaN"
2218.1,2145.029,37522163778.3867,-37522161633.3577,"NaN","NaN"
2225.1,1784.945,31223435257.4521,-31223433472.5071,"NaN","NaN"
2232.1,1485.309,25982038363.9465,-25982036878.6375,"NaN","NaN"
2239.1,1235.971,21620483148.5195,-21620481912.5485,"NaN","NaN"
2246.2,1028.492,17991102041.5922,-17991101013.1002,"NaN","NaN"
2253.2,855.8622,14970967374.6945,-14970966518.8323,"NaN","NaN"
2260.2,712.216,12457829609.7626,-12457828897.5466,"NaN","NaN"
2267.2,592.6706,10366565692.5808,-10366565099.9102,"NaN","NaN"
2274.2,1636.902,16702247011.9516,-16702245375.0496,"NaN","NaN"
2281.2,2531.636,22172455062.9403,-22172452531.3043,"NaN","NaN"
2288.3,3310.502,27060846866.6785,-27060843556.1765,"NaN","NaN"
2295.3,4004.126,31587622473.4571,-31587618469.3311,"NaN","NaN"
2302.3,4633.835,35911376828.3381,-35911372194.5031,"NaN","NaN"
2309.3,5209.889,40092337394.2687,-40092332184.3797,"NaN","NaN"
2316.3,5835.021,45159169483.9972,-45159163648.9762,"NaN","NaN"
2323.4,6621.497,54556501329.2118,-54556494707.7148,"NaN","NaN"
2330.4,7217.75,72882427649.0866,-72882420431.3366,"NaN","NaN"
2337.4,7473.54,96845239682.9604,-96845232209.4204,"NaN","NaN"
2344.4,7409.202,109121774009.72,-109121766600.518,"NaN","NaN"
2351.4,7196.759,107583050342.79,-107583043146.031,"NaN","NaN"
2358.5,6841.198,98746473557.8323,-98746466716.6343,"NaN","NaN"
2365.5,6341.871,87069567332.7764,-87069560990.9054,"NaN","NaN"
2372.5,5744.962,75066673963.6591,-75066668218.6971,"NaN","NaN"
2379.5,5154.31,64707992464.6382,-64707987310.3282,"NaN","NaN"
2386.5,4627.896,56796801125.7162,-56796796497.8202,"NaN","NaN"
2393.6,4165.447,50926368894.3318,-50926364728.8848,"NaN","NaN"
2400.6,3766.986,46637975601.1366,-46637971834.1506,"NaN","NaN"
2407.6,3427.778,43509140157.1446,-43509136729.3666,"NaN","NaN"
2414.6,3140.076,41189551949.462,-41189548809.386,"NaN","NaN"
2421.6,2892.987,39389262236.6855,-39389259343.6985,"NaN","NaN"
2428.7,2675.64,37890345550.8514,-37890342875.2114,"NaN","NaN"
2435.7,2487.153,36713659942.1559,-36713657455.0029,"NaN","NaN"
2442.7,2402.471,37683577234.2279,-37683574831.7569,"NaN","NaN"
2449.7,2409.755,41375381535.98,-41375379126.225,"NaN","NaN"
2456.7,2495.564,47777412342.9225,-47777409847.3585,"NaN","NaN"
2463.8,2665.148,56943256044.4242,-56943253379.2762,"NaN","NaN"
2470.8,3011.724,70820462759.5689,-70820459747.8449,"NaN","NaN"
2477.8,3629.975,91021798774.7089,-91021795144.7339,"NaN","NaN"
2484.8,4525.39,114895576319.153,-114895571793.763,"NaN","NaN"
2491.8,5539.478,134053960813.004,-134053955273.526,"NaN","NaN"
2498.8,6409.74,142513130605.594,-142513124195.854,"NaN","NaN"
2505.9,7033.088,144537617818.75,-144537610785.662,"NaN","NaN"
2512.9,7393.685,142096236121.392,-142096228727.707,"NaN","NaN"
2519.9,7535.497,136843647378.509,-136843639843.012,"NaN","NaN"
2526.9,7534.029,130341682032.355,-130341674498.326,"NaN","NaN"
2533.9,6759.16,114766786030.401,-114766779271.241,"NaN","NaN"
2541,5624.54,95501186626.8335,-95501181002.2935,"NaN","NaN"
2548,4680.359,79469665375.5688,-79469660695.2098,"NaN","NaN"
2555,3894.672,66129317886.0491,-66129313991.3771,"NaN","NaN"
2562,3240.881,55028372657.9648,-55028369417.0838,"NaN","NaN"
2569,2696.87,45790913536.1459,-45790910839.2759,"NaN","NaN"
2576.1,2244.195,38104122235.9601,-38104119991.7651,"NaN","NaN"
2583.1,1867.508,31707684638.2873,-31707682770.7793,"NaN","NaN"
2590.1,1554.069,26384998370.0649,-26384996815.9959,"NaN","NaN"
2597.1,1293.237,21955823781.4522,-21955822488.2152,"NaN","NaN"
2604.1,1076.18,18270179114.5293,-18270178038.3493,"NaN","NaN"
2611.2,895.5535,15203225458.2697,-15203224562.7162,"NaN","NaN"
2618.2,1888.328,27227271799.1141,-27227269910.7861,"NaN","NaN"
2625.2,2706.334,37035621619.0125,-37035618912.6785,"NaN","NaN"
2632.2,3345.646,44556412597.4784,-44556409251.8324,"NaN","NaN"
2639.2,3840.428,50250205881.6772,-50250202041.2492,"NaN","NaN"
2646.2,3613.335,46996601978.7545,-46996598365.4195,"NaN","NaN"
