"emscripten(JS)","c","Diff in y(1)"
3448.68285785893,3448.683,-0.000142141069318
3408.12697095301,3408.127,-2.90469893116096E-05
3274.93095535743,3274.931,-4.46425701738917E-05
2996.54843805133,2996.548,0.000438051330548
2632.1116158153,2632.112,-0.000384184699669
2238.08965871016,2238.09,-0.000341289837252
1862.33007598094,1862.33,7.59809420287638E-05
1549.68242395228,1549.682,0.000423952279561
1289.60840339394,1289.608,0.000403393936722
1073.12861212894,1073.129,-0.00038787106314
892.981902213512,892.9819,2.213512061644E-06
743.133112257334,743.1331,1.22573344469856E-05
618.392552234723,618.3926,-4.77652769177439E-05
514.573184576423,514.5732,-1.54235767695354E-05
428.227551199887,428.2276,-4.88001125518167E-05
356.351412787392,356.3514,1.27873915403143E-05
296.539661949006,296.5397,-3.80509939077456E-05
246.764506040709,246.7645,6.04070910981136E-06
290.378625785447,290.3786,2.57854472351937E-05
330.161681107798,330.1617,-1.88922016377546E-05
367.36339970139,367.3634,-2.98610245863529E-07
404.003221416437,404.0032,2.14164373346648E-05
440.976239400403,440.9762,3.94004025565664E-05
482.490971112633,482.491,-2.88873668523593E-05
531.154142991251,531.1541,4.29912513482122E-05
583.377516684344,583.3775,1.6684343563611E-05
640.701708804133,640.7017,8.80413301729277E-06
735.504624002488,735.5046,2.40024878621625E-05
950.900584911701,950.9006,-1.50882990510581E-05
1345.2701651665,1345.27,0.000165166495663
1892.84391582396,1892.844,-8.41760354433063E-05
2491.18185841145,2491.182,-0.000141588551742
3022.24507822607,3022.245,7.82260690357361E-05
3445.30144225362,3445.301,0.000442253615802
3758.42126833687,3758.421,0.000268336870249
3972.14160980714,3972.142,-0.000390192863961
4104.51792455861,4104.518,-7.54413904360263E-05
4174.74043031394,4174.74,0.000430313938523
4196.56774969736,4196.568,-0.000250302641689
4182.71935316465,4182.719,0.000353164648004
4146.145293451,4146.145,0.000293451003927
4099.82901156324,4099.829,1.15632356028073E-05
4048.63102325656,4048.631,2.3256554868567E-05
3997.99461475313,3997.995,-0.000385246873066
3953.03132552177,3953.031,0.000325521768445
3914.60146780362,3914.601,0.000467803622087
3875.17493921573,3875.175,-6.0784265770053E-05
