,"E","QL","EL_s","EL_i","QN_s","QN_i","EN_s","EN_i","QA_s","QA_i","EA","H_s","H_i","cases"
"259",22919439845.9148,2707624708.52459,258670000.051916,29461415721.2709,37859889.720352,16677217259.4884,4.230997821563E-06,891352358.071595,5.23660629563409E-13,95.2795058075779,58035266.5489784,0.105385307833923,1.94418747629105E-07,0
"260",19072006611.2778,2581423496.41088,256090182.207118,29167585412.4005,36967045.3045959,16283920807.4789,4.21688499660696E-06,888379182.396697,5.18685469235064E-13,94.3742805707803,57869300.2385077,0.12242506755261,-1.05750857965062E-07,0
"261",15870428778.5882,2461104467.26056,253536093.902287,28876685588.987,36095256.7118749,15899899409.8324,4.20281924608504E-06,885415923.982367,5.13757576581375E-13,93.4776556381254,57703808.5500702,0.13914027032919,4.7338512405055E-07,0
"262",13206293605.0293,2346393455.90678,251007478.526613,28588687024.1478,35244027.3860626,15524934334.4168,4.18880041297679E-06,882462549.748806,5.08876502524789E-13,92.5895493004208,57538790.1263661,0.155537098009018,-1.60646239424161E-07,0
"263",10989380197.6156,2237029074.8139,248504082.028496,28303560782.4832,34412872.4807501,15158812007.2105,4.17482834078531E-06,879519026.72652,5.04041802254198E-13,91.7098806247486,57374243.6139747,0.171621614695715,-4.09985162226313E-07,0
"264",9144621740.80812,2132762121.77302,246025652.890279,28021278217.1989,33601318.5846651,14801323891.3506,4.16090287353626E-06,876585322.05609,4.9925303518485E-13,90.8385694471726,57210167.6633522,0.187399768980585,-1.17769612502669E-07,0
"265",7609539538.81692,2033355008.21229,243571942.103036,27741810967.2348,32808903.4512924,14452266368.0304,4.14702385577511E-06,873661402.987622,4.9450976491828E-13,89.9755363654468,57046560.9288085,0.202877396144693,-3.15861098231127E-08,0
"266",6332149789.66649,1938581220.15615,241142703.141173,27465130954.3713,32035175.7349919,14111440620.2603,4.13319113256602E-06,870747236.880485,4.898115592019E-13,89.1207027316634,56883422.0685038,0.218060220328154,1.17336646795099E-09,0
"267",5269188608.75713,1848224793.67089,238737691.935989,27191210380.2189,31279694.7264368,13778652516.3288,4.11940454948941E-06,867842791.20281,4.85157989886827E-13,88.2739906445792,56720749.7444308,0.232953856722112,1.58753666638271E-08,0
"268",4384659818.21735,1762079834.75423,236356666.85384,26920021723.7304,30542030.1130981,13453712504.2962,4.1056639526414E-06,864948033.531377,4.80548632893365E-13,87.4353229433355,56558542.6224155,0.247563813528471,1.54016545769503E-08,0
"269",3648617061.0713,1679950058.65555,233999388.674057,26651537738.6863,29821761.7437402,13136435508.2551,4.09196918863168E-06,862062931.551157,4.75983068175991E-13,86.6046232010873,56396799.3720985,0.261895493897141,8.57787635843889E-09,0
"270",3036131937.56053,1601648315.27737,231665620.558463,26385731450.2232,29118479.3609989,12826640810.532,4.07832010458102E-06,859187453.054791,4.71460879674336E-13,85.7818157160838,56235518.6669217,0.275954198212888,1.87481649529139E-07,0
"271",2526468907.74603,1526996185.24297,229355128.032102,26122576152.6381,28431782.3887548,12524151958.0251,4.06471654812018E-06,856321565.942364,4.66981655282792E-13,84.9668255061391,56074699.18412,0.289745125844134,-8.07952473158132E-08,0
