"","time","reports"
"309",4358.94230769228,3
"310",4365.96153846158,1
"311",4372.98076923079,1
"312",4380,1
"313",4387.01923076921,1
"314",4394.03846153842,1
"315",4401.05769230772,3
"316",4408.07692307693,1
"317",4415.09615384614,1
"318",4422.11538461535,1
"319",4429.13461538465,1
"320",4436.15384615386,1
"321",4443.17307692307,1
"322",4450.19230769228,1
"323",4457.21153846158,1
"324",4464.23076923079,1
"325",4471.25,1
"326",4478.26923076921,3
"327",4485.28846153842,3
"328",4492.30769230772,1
"329",4499.32692307693,3
"330",4506.34615384614,15
"331",4513.36538461535,7
"332",4520.38461538465,7
"333",4527.40384615386,7
"334",4534.42307692307,13
"335",4541.44230769228,11
"336",4548.46153846158,19
"337",4555.48076923079,11
"338",4562.5,17
"339",4569.51923076921,9
"340",4576.53846153842,11
"341",4583.55769230772,5
"342",4590.57692307693,9
"343",4597.59615384614,1
"344",4604.61538461535,3
"345",4611.63461538465,1
"346",4618.65384615386,3
"347",4625.67307692307,1
"348",4632.69230769228,1
"349",4639.71153846158,1
"350",4646.73076923079,5
"351",4653.75,1
"352",4660.76923076921,1
"353",4667.78846153842,1
"354",4674.80769230772,1
"355",4681.82692307693,1
"356",4688.84615384614,3
"357",4695.86538461535,1
"358",4702.88461538465,1
"359",4709.90384615386,1
"360",4716.92307692307,1
"361",4723.94230769228,1
"362",4730.96153846158,1
"363",4737.98076923079,1
"364",4745,1
"365",4752.01923076921,1
"366",4759.03846153842,1
"367",4766.05769230772,1
"368",4773.07692307693,1
"369",4780.09615384614,1
"370",4787.11538461535,1
"371",4794.13461538465,1
"372",4801.15384615386,1
"373",4808.17307692307,1
"374",4815.19230769228,1
"375",4822.21153846158,1
"376",4829.23076923079,1
"377",4836.25,1
"378",4843.26923076921,1
"379",4850.28846153842,3
"380",4857.30769230772,7
"381",4864.32692307693,7
"382",4871.34615384614,7
"383",4878.36538461535,11
"384",4885.38461538465,7
"385",4892.40384615386,11
"386",4899.42307692307,5
"387",4906.44230769228,9
"388",4913.46153846158,11
"389",4920.48076923079,9
"390",4927.5,5
"391",4934.51923076921,9
"392",4941.53846153842,13
"393",4948.55769230772,11
"394",4955.57692307693,5
"395",4962.59615384614,9
"396",4969.61538461535,3
"397",4976.63461538465,7
"398",4983.65384615386,1
"399",4990.67307692307,3
"400",4997.69230769228,1
"401",5004.71153846158,1
"402",5011.73076923079,3
"403",5018.75,3
"404",5025.76923076921,3
"405",5032.78846153842,7
"406",5039.80769230772,3
"407",5046.82692307693,3
"408",5053.84615384614,3
"409",5060.86538461535,1
"410",5067.88461538465,1
"411",5074.90384615386,3
"412",5081.92307692307,1
"413",5088.94230769228,1
"414",5095.96153846158,1
"415",5102.98076923079,1
"416",5110,1
"417",5117.01923076921,1
"418",5124.03846153842,1
"419",5131.05769230772,1
"420",5138.07692307693,1
"421",5145.09615384614,1
"422",5152.11538461535,1
"423",5159.13461538465,1
"424",5166.15384615386,1
"425",5173.17307692307,1
"426",5180.19230769228,1
"427",5187.21153846158,1
"428",5194.23076923079,1
"429",5201.25,1
"430",5208.26923076921,1
"431",5215.28846153842,3
"432",5222.30769230772,3
"433",5229.32692307693,3
"434",5236.34615384614,9
"435",5243.36538461535,3
"436",5250.38461538465,1
"437",5257.40384615386,3
"438",5264.42307692307,5
"439",5271.44230769228,9
"440",5278.46153846158,9
"441",5285.48076923079,7
"442",5292.5,9
"443",5299.51923076921,5
"444",5306.53846153842,7
"445",5313.55769230772,5
"446",5320.57692307693,5
"447",5327.59615384614,9
"448",5334.61538461535,1
"449",5341.63461538465,3
"450",5348.65384615386,7
"451",5355.67307692307,3
"452",5362.69230769228,1
"453",5369.71153846158,1
"454",5376.73076923079,1
"455",5383.75,5
"456",5390.76923076921,5
"457",5397.78846153842,3
"458",5404.80769230772,9
"459",5411.82692307693,1
"460",5418.84615384614,1
"461",5425.86538461535,1
"462",5432.88461538465,1
"463",5439.90384615386,1
"464",5446.92307692307,1
"465",5453.94230769228,1
"466",5460.96153846158,1
"467",5467.98076923079,1
"468",5475,1
"469",5482.01923076921,1
"470",5489.03846153842,1
"471",5496.05769230772,1
"472",5503.07692307693,1
"473",5510.09615384614,1
"474",5517.11538461535,1
"475",5524.13461538465,1
"476",5531.15384615386,1
"477",5538.17307692307,1
"478",5545.19230769228,1
"479",5552.21153846158,1
"480",5559.23076923079,1
"481",5566.25,1
"482",5573.26923076921,1
"483",5580.28846153842,1
"484",5587.30769230772,1
"485",5594.32692307693,7
"486",5601.34615384614,9
"487",5608.36538461535,5
"488",5615.38461538465,5
"489",5622.40384615386,11
"490",5629.42307692307,7
"491",5636.44230769228,3
"492",5643.46153846158,5
"493",5650.48076923079,7
"494",5657.5,15
"495",5664.51923076921,7
"496",5671.53846153842,9
"497",5678.55769230772,5
"498",5685.57692307693,9
"499",5692.59615384614,5
"500",5699.61538461535,3
"501",5706.63461538465,3
"502",5713.65384615386,1
"503",5720.67307692307,3
"504",5727.69230769228,7
"505",5734.71153846158,1
"506",5741.73076923079,3
"507",5748.75,3
"508",5755.76923076921,1
"509",5762.78846153842,1
"510",5769.80769230772,1
"511",5776.82692307693,1
"512",5783.84615384614,5
"513",5790.86538461535,1
"514",5797.88461538465,1
"515",5804.90384615386,1
"516",5811.92307692307,1
"517",5818.94230769228,1
"518",5825.96153846158,1
"519",5832.98076923079,1
"520",5840,1
"521",5847.01923076921,3
"522",5854.03846153842,1
"523",5861.05769230772,1
"524",5868.07692307693,1
"525",5875.09615384614,3
"526",5882.11538461535,1
"527",5889.13461538465,1
"528",5896.15384615386,1
"529",5903.17307692307,1
"530",5910.19230769228,1
"531",5917.21153846158,1
"532",5924.23076923079,1
"533",5931.25,3
"534",5938.26923076921,1
"535",5945.28846153842,7
"536",5952.30769230772,5
"537",5959.32692307693,3
"538",5966.34615384614,9
"539",5973.36538461535,7
"540",5980.38461538465,3
"541",5987.40384615386,3
"542",5994.42307692307,7
"543",6001.44230769228,5
"544",6008.46153846158,9
"545",6015.48076923079,3
"546",6022.5,9
"547",6029.51923076921,5
"548",6036.53846153842,1
"549",6043.55769230772,1
"550",6050.57692307693,1
"551",6057.59615384614,5
"552",6064.61538461535,1
"553",6071.63461538465,9
"554",6078.65384615386,9
"555",6085.67307692307,1
"556",6092.69230769228,1
"557",6099.71153846158,1
"558",6106.73076923079,1
"559",6113.75,1
"560",6120.76923076921,3
"561",6127.78846153842,5
"562",6134.80769230772,1
"563",6141.82692307693,3
"564",6148.84615384614,1
"565",6155.86538461535,1
"566",6162.88461538465,1
"567",6169.90384615386,1
"568",6176.92307692307,1
"569",6183.94230769228,1
"570",6190.96153846158,1
"571",6197.98076923079,1
"572",6205,1
"573",6212.01923076921,1
"574",6219.03846153842,1
"575",6226.05769230772,1
"576",6233.07692307693,1
"577",6240.09615384614,1
"578",6247.11538461535,1
"579",6254.13461538465,1
"580",6261.15384615386,1
"581",6268.17307692307,3
"582",6275.19230769228,1
"583",6282.21153846158,1
"584",6289.23076923079,1
"585",6296.25,1
"586",6303.26923076921,1
"587",6310.28846153842,1
"588",6317.30769230772,3
"589",6324.32692307693,1
"590",6331.34615384614,11
"591",6338.36538461535,5
"592",6345.38461538465,11
"593",6352.40384615386,19
"594",6359.42307692307,13
"595",6366.44230769228,17
"596",6373.46153846158,7
"597",6380.48076923079,7
"598",6387.5,11
"599",6394.51923076921,11
"600",6401.53846153842,13
"601",6408.55769230772,3
"602",6415.57692307693,1
"603",6422.59615384614,5
"604",6429.61538461535,5
"605",6436.63461538465,3
"606",6443.65384615386,5
"607",6450.67307692307,5
"608",6457.69230769228,1
"609",6464.71153846158,3
"610",6471.73076923079,3
"611",6478.75,1
"612",6485.76923076921,1
"613",6492.78846153842,1
"614",6499.80769230772,5
"615",6506.82692307693,3
"616",6513.84615384614,5
"617",6520.86538461535,3
"618",6527.88461538465,1
"619",6534.90384615386,1
"620",6541.92307692307,1
"621",6548.94230769228,1
"622",6555.96153846158,1
"623",6562.98076923079,1
"624",6570,1
